last_name, first_name,player_id,year,p_formatted_ip,woba,xwoba,exit_velocity_avg,barrel_batted_rate,hard_hit_percent,whiff_percent,
Castillo, Luis,622491,2021,121.2,.315,.304,88.1,4.9,38.8,28.7,
Senzatela, Antonio,622608,2021,94.1,.341,.321,90.5,5.6,42.8,19.5,
Flexen, Chris,623167,2021,108.2,.312,.311,89.4,6.2,39.4,18.1,
Maeda, Kenta,628317,2021,86.0,.326,.301,87.8,6.1,37.1,29.2,
Urias, Julio,628711,2021,124.2,.284,.296,86.7,6.5,31.5,25.4,
Crowe, Wil,640444,2021,65.2,.377,.350,89.4,10.1,37.4,24.7,
Manaea, Sean,640455,2021,122.2,.285,.295,89.3,7.2,38.9,28.3,
Alzolay, Adbert,640470,2021,93.1,.323,.333,89.8,11.7,41.4,26.8,
Lopez, Pablo,641154,2021,101.0,.287,.288,86.6,7.5,32.7,25.2,
Dunning, Dane,641540,2021,90.0,.329,.315,88.8,7.7,41.9,24.2,
Keller, Brad,641745,2021,108.2,.359,.377,90.2,10.3,44.7,21.2,
Kuhl, Chad,641771,2021,67.0,.332,.328,88.4,6.4,36.9,26.6,
Lauer, Eric,641778,2021,64.1,.308,.307,87.6,7.6,30.4,23.3,
Mahle, Tyler,641816,2021,111.2,.311,.299,88.5,7.6,35.1,30.1,
Smith, Riley,642092,2021,67.1,.369,.348,89.3,7.3,41.2,13.6,
Yarbrough, Ryan,642232,2021,109.0,.315,.311,84.1,6.2,26.8,22.6,
Peralta, Freddy,642547,2021,108.0,.225,.244,87.1,5.8,34.5,34.3,
Alcantara, Sandy,645261,2021,125.2,.284,.283,87.1,4.4,38.2,25.5,
Civale, Aaron,650644,2021,97.2,.298,.319,88.2,6.7,39,21.8,
Canning, Griffin,656288,2021,62.2,.359,.328,89.6,9.2,39.5,30.3,
Cease, Dylan,656302,2021,108.2,.303,.304,88.3,9.6,35.6,33.8,
Flaherty, Jack,656427,2021,62.0,.270,.332,90.2,8.6,40.7,28.7,
Montgomery, Jordan,656756,2021,109.2,.288,.308,88,7.8,36.8,28.3,
Peterson, David,656849,2021,66.2,.347,.363,90.4,9.8,42.9,25.1,
Sheffield, Justus,656954,2021,73.2,.389,.396,92.7,12,46.4,20.5,
Webb, Logan,657277,2021,67.0,.285,.287,87.1,6,34.6,28.7,
Ohtani, Shohei,660271,2021,80.0,.275,.286,89,6.9,42.3,31.3,
Gutierrez, Vladimir,661269,2021,60.2,.351,.334,89.5,10.4,35.2,23.7,
Bubic, Kris,663460,2021,74.2,.353,.357,89.7,9.4,41.3,22.8,
Allard, Kolby,663465,2021,72.2,.299,.316,89,9.5,36.5,20.2,
McKenzie, Triston,663474,2021,59.1,.319,.327,92.9,12.3,47.8,31,
Mize, Casey,663554,2021,111.0,.301,.334,88.6,9,40.8,23.3,
McClanahan, Shane,663556,2021,71.0,.315,.304,90.1,7.9,40.3,33.9,
Sandoval, Patrick,663776,2021,71.2,.282,.276,85.7,6.1,34.1,35.9,
Singer, Brady,663903,2021,87.2,.336,.303,87.8,4.5,35.6,25.4,
Paddack, Chris,663978,2021,93.0,.329,.328,90.3,8.7,42.2,25.6,
Brubaker, JT,664141,2021,96.1,.329,.323,88.5,9,38.7,27.9,
Valdez, Framber,664285,2021,66.2,.298,.293,90.2,4.7,42.6,26.6,
Javier, Cristian,664299,2021,77.1,.266,.312,91.2,10.4,44.5,31.8,
Urquidy, Jose,664353,2021,77.1,.276,.293,88.2,7.6,34.1,24.8,
Anderson, Ian,666120,2021,96.0,.290,.310,88.2,9.8,40,28.6,
Plesac, Zach,668676,2021,80.1,.298,.311,89.7,10.2,41.4,23.3,
Zimmermann, Bruce,669145,2021,59.2,.355,.376,90.9,9.6,45.5,26.8,
Burnes, Corbin,669203,2021,102.0,.228,.209,85.4,3,28.7,36,
Skubal, Tarik,669373,2021,99.2,.338,.351,91,13.2,45.4,28.3,
Rogers, Trevor,669432,2021,106.1,.263,.282,87.5,5.3,37.1,31.9,
Bieber, Shane,669456,2021,90.2,.302,.298,89.7,8.8,44,37.3,
Oviedo, Johan,670912,2021,62.1,.340,.363,87.7,7.7,35.6,25.9,
Fleming, Josh,676596,2021,77.1,.289,.321,87.1,6.8,35.2,18.6,
Peacock, Matt,676840,2021,67.1,.373,.320,90.3,7.1,45.8,17.5,
Garcia, Luis,677651,2021,96.0,.279,.287,87.5,6.6,39.3,32,
Weathers, Ryan,677960,2021,62.2,.298,.344,90.6,6.6,42.9,19.3,
